date,delta_temp_c_mean,delta_rh_pct_mean,delta_dewpoint_c_mean,n_obs_day_high,n_obs_day_low
2009-06-09,-4.312499999999999,-1.195833339999993,-3.5375,24,24
2009-06-10,-3.2458333339999994,-3.1083333300000007,-3.508333334,24,24
2009-06-11,-3.7916666669999994,-1.8500000000000085,-3.6319444450000002,24,24
2009-06-12,-4.429166667,5.387500000000003,-2.983333333,24,24
2009-06-13,-3.016666667,-4.329166669999992,-3.520833333,24,24
2009-06-14,-4.504166666000001,1.6749999999999972,-3.523611111,24,24
2009-06-15,-1.8458333329999999,-7.325000000000003,-3.093055556,24,24
2009-06-16,-3.766666667,4.145833330000009,-2.180555556,24,24
2009-06-17,-4.199999999999999,2.3499999999999943,-2.955555555,24,24
2009-06-18,-3.7625,1.4958333399999901,-2.4680555560000004,24,24
2009-06-19,-3.5250000000000004,-0.9124999999999943,-2.9847222220000003,24,24
2009-06-20,-2.5208333329999997,-2.6958333299999993,-2.579166667,24,24
2009-06-21,-3.783333333,6.433333340000004,-2.293055555,24,24
2009-06-22,-3.5416666670000003,1.8499999999999943,-2.697222223,24,24
2009-06-23,-4.279166667,3.3083333299999964,-3.306944445,24,24
2009-06-24,-4.5625,2.8916666599999985,-3.520833333,24,24
2009-06-25,-5.1375,5.733333330000008,-3.322222222,24,24
2009-06-26,-6.599999997,16.5875,-2.591666667,24,24
2009-06-27,-4.824999999999999,8.649999999999999,-2.1263888890000002,24,24
2009-06-28,-3.6708333339999992,-7.69583334,-4.6875,24,24
2009-06-29,-3.704166667,-12.445833339999997,-6.431944446999999,24,24
2009-06-30,-3.9791666669999994,-7.399999999999999,-5.333333337000001,24,24
2009-07-01,-2.995833333,-5.1208333300000035,-3.230555556,24,24
2009-07-02,-3.9791666670000003,1.625,-2.556944444,24,24
2009-07-03,-3.329166666,3.612499999999997,-1.8819444439999997,24,24
2009-07-04,-3.454166667,1.3875000000000028,-2.431944444,24,24
2009-07-05,-3.4666666669999993,6.333333330000002,-1.4,24,24
2009-07-06,-3.6333333339999996,1.9875000000000114,-2.829166667,24,24
2009-07-08,-4.7583333340000005,4.012500000000003,-3.591666666,24,24
2009-07-09,-4.229166665999999,1.8166666599999957,-3.330555556,24,24
2009-07-10,-4.6958333329999995,2.216666669999995,-3.419444445,24,24
2009-07-11,-3.5,-3.9208333300000007,-3.277777778,24,24
2009-07-12,-7.745833337,0.25,-5.865277778,24,24
2009-07-13,-15.6375,31.63333333,-6.181666667,24,20
2009-10-27,-4.020833333000001,1.0333333299999907,-3.6875,24,24
2009-10-28,-4.083333333,2.4875000000000114,-3.4125,24,24
2009-10-29,-4.374999999999999,0.40833333000000493,-4.1125,24,24
2009-10-30,-4.854166666,2.791666660000004,-3.904166667,24,24
2009-10-31,-3.7291666670000003,-4.487499999999997,-4.720833334,24,24
2009-11-01,-3.5208333329999997,-5.112499999999997,-4.229166666999999,24,24
2009-11-02,-3.437500000000001,-2.3499999999999943,-3.675,24,24
2009-11-03,-3.2083333339999998,-5.591666659999987,-4.0541666670000005,24,24
2009-11-04,-2.374999999999999,-11.008333340000007,-4.466666667,24,24
2009-11-05,-3.0416666669999994,-14.083333339999996,-5.708333334,24,24
2009-11-06,-2.0208333329999997,-26.066666669999996,-8.6625,24,24
2009-11-07,-1.5833333340000006,-26.254166670000004,-9.25416667,24,24
2009-11-08,-3.2916666669999994,-11.92083333,-5.491666667,24,24
2009-11-09,-2.4375,-19.520833330000002,-8.162500003000002,24,24
2009-11-10,-2.500000000000001,-7.829166669999999,-3.454166666,24,24
2009-11-11,-2.687499999999999,12.05416667,0.133333333,24,24
2009-11-12,-3.8750000000000004,10.141666670000006,-1.570833333,24,24
2009-11-13,-4.5,3.0999999999999943,-3.6041666659999994,24,24
2009-11-14,-3.499999999999999,-0.7750000000000057,-3.091666667,24,24
2009-11-15,-2.812500000000001,-2.770833330000002,-3.183333333,24,24
2009-11-16,-3.1041666670000003,-0.20000000000000284,-3.0833333329999997,24,24
2009-11-17,-3.5416666659999994,0.08750000000000568,-3.4666666660000005,24,24
2009-11-18,-4.583333334,1.3958333399999958,-4.191666667,24,24
2009-11-19,-4.624999997000001,4.299999999999997,-3.0958333330000003,24,24
2009-11-20,-4.35416667,2.416666669999998,-3.091666667,24,24
2009-11-21,-3.562500000000001,2.7416666700000007,-2.504166667,24,24
2009-11-22,-4.29166667,2.4833333300000078,-3.1791666669999996,24,24
2009-11-23,-4.395833333,2.904166669999995,-3.733333333,24,24
2009-11-24,-3.3958333329999997,-0.0166666599999985,-3.3541666669999994,24,24
2009-11-25,-3.7916666669999994,0.32500000000000284,-3.5875000000000004,24,24
2009-11-26,-4.145833333,0.29166665999999,-3.95,24,24
2009-11-27,-3.2083333329999997,-1.345833330000005,-3.379166667,24,24
2009-11-28,-3.7083333329999997,0.3166666700000036,-3.4624999999999995,24,24
2009-11-29,-3.1875000000000004,-1.9166666600000042,-3.4625,24,24
2009-11-30,-3.6666666660000002,-0.625,-3.6166666669999996,24,24
2009-12-01,-4.145833334,1.4375,-3.8124999999999996,24,24
2009-12-02,-4.312499999999999,1.791666669999998,-3.7333333330000005,24,24
2009-12-03,-3.8125,0.2874999999999943,-3.716666667,24,24
2009-12-04,-3.9166666660000002,-0.5458333299999936,-3.8375000000000004,24,24
2009-12-05,-2.8541666669999994,0.3583333400000015,-2.6458333329999997,24,24
2009-12-06,-3.875,3.529166669999995,-3.133333333,24,24
2009-12-07,-3.1874999999999996,-4.933333329999996,-3.9166666669999994,24,24
2009-12-08,-2.1875,-3.4208333299999936,-2.7583333329999995,24,24
2009-12-09,-3.3125,5.674999999999997,-2.166666667,24,24
2009-12-10,-3.0833333339999998,-1.8500000000000085,-3.191666667,24,24
2009-12-11,-3.0416666670000003,1.8999999999999915,-2.5833333330000006,24,24
2009-12-12,-3.6041666669999994,0.5125000000000028,-3.0833333339999998,24,24
2009-12-13,-4.729166667,5.7666666599999985,-3.3333333330000006,24,24
2009-12-14,-4.77083333,7.508333329999999,-2.8125000000000004,24,24
2009-12-15,-4.812499997000001,8.016666670000006,-2.775,24,24
2009-12-16,-4.104166663,1.2791666600000013,-3.533333333,24,24
2009-12-17,-3.7708333330000006,0.2708333399999958,-3.5125,24,24
2009-12-18,-4.229166666999999,3.1958333299999993,-3.5333333330000003,24,24
2009-12-19,-4.5,3.5666666700000036,-3.6166666669999996,24,24
2009-12-20,-3.5208333329999997,0.05416667000000075,-3.441666667,24,24
2009-12-21,-3.1458333340000006,-2.174999999999997,-3.3916666660000003,24,24
2009-12-22,-3.25,-1.9749999999999943,-3.4791666670000003,24,24
2009-12-23,-3.3958333329999997,-1.758333339999993,-3.570833333,24,24
2009-12-24,-4.4375,2.3083333299999964,-3.779166667,24,24
2009-12-25,-3.6874999999999996,-0.8083333299999964,-3.779166667,24,24
2009-12-26,-3.9791666670000003,-8.270833330000002,-5.2250000000000005,24,24
2009-12-27,-3.479166667,-1.3291666599999985,-3.5958333339999995,24,24
2009-12-28,-3.4166666670000003,3.0541666700000007,-2.7,24,24
2009-12-29,-3.4166666660000002,1.5875000000000057,-2.875,24,24
2009-12-30,-4.566666666000001,6.174999999999997,-3.1595833330000005,24,24
2009-12-31,-4.179166666,4.954166669999992,-2.8608333330000004,24,24
2010-01-01,-3.216666666000001,-1.6124999999999972,-2.9066666660000005,24,24
2010-01-02,-2.9166666669999994,1.4416666700000036,-2.0512500000000005,24,24
2010-01-03,-2.7791666630000007,-0.008333339999992972,-2.0841666670000003,24,24
2010-01-04,-3.6375,-0.28333333999999866,-3.4287499999999995,24,24
2010-01-05,-3.5749999999999993,-4.1083333400000015,-4.159166667000001,24,24
2010-01-06,-4.791666666999999,4.4624999999999915,-3.6575,24,24
2010-01-07,-4.691666667,3.5541666700000007,-3.157083334,24,24
2010-01-08,-3.9749999999999996,-0.6625000000000085,-3.6545833329999997,24,24
2010-01-09,-2.033333334,-3.5458333299999936,-2.627083333,24,24
2010-01-10,-2.375,-3.595833330000005,-2.9299999999999997,24,24
2010-01-11,-3.5833333339999998,2.0666666700000036,-3.1645833329999995,24,24
2010-01-12,-3.2291666670000003,0.2750000000000057,-2.9824999999999995,24,24
2010-01-13,-3.283333333999999,-2.3041666700000007,-3.5233333339999997,24,24
2010-01-14,-4.229166666999999,-0.09999999999999432,-4.102083333,24,24
2010-01-15,-4.875,4.950000000000003,-3.705,24,24
2010-01-16,-5.183333333999999,8.149999999999991,-3.42625,24,24
2010-01-17,-4.1,3.5250000000000057,-3.162083333,24,24
2010-01-18,-4.416666663,4.333333339999996,-3.207083334,24,24
2010-01-19,-5.41666667,8.775000000000006,-3.3858333340000004,24,24
2010-01-20,-4.500000002999999,3.0666666700000036,-3.4316666670000004,24,24
2010-01-21,-3.6958333330000004,2.179166660000007,-2.8829166669999995,24,24
2010-01-22,-5.291666666,5.104166660000004,-4.224583334,24,24
2010-01-23,-3.8166666670000002,0.40833333999999866,-3.693333333,24,24
2010-01-24,-3.620833333,-4.962500000000006,-4.350416666999999,24,24
2010-01-25,-4.308333333999999,-4.1083333400000015,-4.6725,24,24
2010-01-26,-3.4875,-6.174999999999997,-4.268333333,24,24
2010-01-27,-3.0875000029999997,-0.9541666599999985,-2.8166666670000002,24,24
2010-01-28,-3.2750000000000004,1.4874999999999972,-2.3133333329999997,24,24
2010-01-29,-4.10416667,4.416666660000004,-2.8441666670000005,24,24
2010-01-30,-4.133333333,4.745833340000004,-2.3187500000000005,24,24
2010-01-31,-5.37083333,16.175000000000004,-1.5150000000000001,24,24
2010-02-01,-6.5875,19.533333330000005,-2.133333333,24,24
